title,price,rating,image,description,url
"Redmi 13C (Stardust Black, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",,4.0,https://m.media-amazon.com/images/I/412bETihpNL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTWQYFM/ref=sr_1_11?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-11
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",,4.1,https://m.media-amazon.com/images/I/41Rkxw78fIL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS/ref=sr_1_12?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-12
"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)",,3.9,https://m.media-amazon.com/images/I/41LRhCMbApL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Redmi-Aqua-Blue-64GB-Storage/dp/B0C74LZSQB/ref=sr_1_13?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-13
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",,3.9,https://m.media-amazon.com/images/I/41vQ5pqPAzL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGG6NKT/ref=sr_1_14?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-14
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",,3.9,https://m.media-amazon.com/images/I/41rxSxVXs7L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGC6LHP/ref=sr_1_15?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-15
"Redmi A2 (Classic Black, 2GB RAM, 64GB Storage)",,3.9,https://m.media-amazon.com/images/I/41gbs1aJDPL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Redmi-Classic-Black-64GB-Storage/dp/B0C74KRMHW/ref=sr_1_16?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779160&sprefix=smartphone%2Caps%2C300&sr=8-16
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue",,4.2,https://m.media-amazon.com/images/I/4141XHdxv1L._SX300_SY300_QL70_ML2_.jpg,,https://aax-eu.amazon.in/x/c/RPePPkLdY33pWcizyNwJcEoAAAGNY_cwAwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBJlyuU/https://www.amazon.in/Smartphone-Storage-5000mAh-Battery-Charging/dp/B0CQ7Z7JCH/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285%3Aamzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285&crid=3PSD4Z9BPQ0TE&cv_ct_cx=smartphones&keywords=smartphones&pd_rd_i=B0CQ7Z7JCH&pd_rd_r=e2d0c722-957f-436e-a375-41660c36b23d&pd_rd_w=i0mcp&pd_rd_wg=GH4zB&pf_rd_p=7d6d801d-0b91-42f0-9ded-a1900c21a285&pf_rd_r=NR3D7W8JEFYKT7RNA0NZ&qid=1706779160&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=smartphone%2Caps%2C300&sr=1-1-25dedf61-9bde-4412-952b-c956ef4fc546
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)",,4.1,https://m.media-amazon.com/images/I/41NOKPCVM7L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/OnePlus-Nord-Chromatic-256GB-Storage/dp/B0BY8L3RZ6/ref=sr_1_17?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-17
"Redmi Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever",,3.1,https://m.media-amazon.com/images/I/41ZlnmlOM-L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Redmi-Arctic-Storage-Dimensity-Slimmest/dp/B0CQPDGYLD/ref=sr_1_18?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-18
"POCO C55 (Forest Green, 6GB RAM, 128GB Storage)",,4.0,https://m.media-amazon.com/images/I/41gB4LgsFAL._SX300_SY300_QL70_ML2_.jpg,"Processor: High performance MediaTek G85 ; Enhance gaming with 1GHz GPU | 11GB of RAM including 5GB virtual | 6.71"" HD+ Large Display, Scratch Resistant Display with Oleophobic Coating| 50MP AI Dual camera |Fast Rear fingerprint | 5000mAh Battery | Premium Leather-like stich design | IP52 Protection",https://www.amazon.in/POCO-C55-Forest-Green-128/dp/B0BX9JS72P/ref=sr_1_19?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-19
